WTIO,SETIO,DMI,ONI,ENSO,SOI,D20_SCTR
0.84,0.71,0.13,1.93,El Nino,-2.0,104.75994495751372
0.61,0.77,-0.16,1.44,El Nino,-2.4,107.68407345514782
0.59,0.52,0.0699999999999999,0.99,El Nino,-1.4,105.51424377761477
0.57,0.59,-0.02,0.45,Neutral,0.3,93.88929149052947
0.3,0.49,-0.19,-0.13,Neutral,1.0,83.21305178105203
-0.01,0.83,-0.84,-0.78,Neutral,1.2,87.71618474247279
-0.06,0.69,-0.75,-1.12,Neutral,1.2,89.3173292259589
-0.15,0.42,-0.57,-1.31,Neutral,1.0,93.52470328933836
-0.07,0.69,-0.76,-1.35,Neutral,1.1,91.04292701455778
-0.52,0.35,-0.87,-1.48,La Nina,1.0,71.57770765590838
-0.46,-0.02,-0.44,-1.57,La Nina,1.4,56.73596413146507
-0.6,-0.14,-0.4599999999999999,-1.55,La Nina,1.8,59.15561066763277
-0.31,-0.18,-0.13,-1.3,La Nina,1.0,62.22063024395569
-0.08,-0.2,0.12,-1.07,La Nina,1.3,76.04573493507627
-0.46,-0.3,-0.16,-0.98,La Nina,1.4,62.09540776335099
-0.57,-0.31,-0.2599999999999999,-1.02,La Nina,0.2,60.07438653093396
-0.31,-0.29,-0.02,-1.04,La Nina,0.3,66.6585809988345
-0.14,-0.37,0.2299999999999999,-1.1,La Nina,0.5,81.6558929618283
-0.24,-0.46,0.22,-1.11,La Nina,0.4,83.53627171598032
-0.18,-0.27,0.09,-1.16,La Nina,-0.1,91.80569309495456
-0.64,-0.12,-0.52,-1.26,La Nina,1.0,90.54771078451192
-0.39,-0.21,-0.18,-1.46,La Nina,1.0,79.07890945558151
-0.27,-0.24,-0.03,-1.65,La Nina,1.4,69.27932067919222
-0.15,-0.13,-0.0199999999999999,-1.66,La Nina,0.7,69.57740678114487
-0.13,-0.65,0.52,-1.41,La Nina,1.7,78.05305059292796
-0.14,-0.9,0.76,-1.07,La Nina,1.3,78.12832502326437
-0.35,-0.53,0.18,-0.81,La Nina,1.2,73.58644610037562
-0.22,-0.56,0.3400000000000001,-0.71,La Nina,0.4,67.24975222974813
-0.5,-0.53,0.03,-0.64,La Nina,-0.2,73.33182173883276
-0.15,-0.28,0.13,-0.55,La Nina,-0.2,77.90312002010837
-0.04,0.06,-0.1,-0.51,La Nina,0.7,82.2488105985298
0.1,0.12,-0.0199999999999999,-0.55,La Nina,0.9,89.97315254484973
-0.15,0.07,-0.22,-0.63,La Nina,1.1,92.7448249078547
-0.06,-0.06,0.0,-0.75,La Nina,1.8,84.4910433581151
-0.18,-0.32,0.14,-0.74,La Nina,0.8,74.82319648805522
-0.41,-0.54,0.13,-0.68,La Nina,1.0,63.81439087185824
-0.27,-0.7,0.4299999999999999,-0.52,La Nina,1.7,71.85416896231989
0.01,-0.4,0.41,-0.44,Neutral,0.9,69.2354211955294
-0.09,-0.08,-0.0099999999999999,-0.34,Neutral,0.2,64.02445488981725
-0.05,0.32,-0.37,-0.25,Neutral,-0.5,57.82736750137355
-0.01,0.05,-0.06,-0.12,Neutral,0.3,60.46158407409733
-0.29,0.45,-0.74,-0.08,Neutral,-0.2,69.99298199506885
-0.21,0.18,-0.39,-0.13,Neutral,-0.4,78.07995737719395
-0.28,0.33,-0.6100000000000001,-0.19,Neutral,0.2,76.39629876217323
-0.43,0.25,-0.6799999999999999,-0.29,Neutral,-0.0,79.80668008244793
-0.24,-0.01,-0.2299999999999999,-0.35,Neutral,0.7,75.66277102884126
0.0,0.03,-0.03,-0.31,Neutral,-0.8,65.49973532645093
-0.12,0.21,-0.3299999999999999,-0.15,Neutral,0.4,62.75065510435809
0.03,-0.16,0.19,0.03,Neutral,1.1,78.3465266562984
-0.01,0.39,-0.4,0.09,Neutral,-0.2,87.59129432852805
-0.13,0.28,-0.41,0.2,Neutral,-0.1,87.53750165125082
-0.36,0.18,-0.54,0.43,Neutral,-0.8,80.66608704350278
-0.16,0.05,-0.21,0.65,Neutral,-0.2,73.487696853791
-0.09,0.16,-0.25,0.79,Neutral,-0.5,68.75525450404635
-0.22,0.17,-0.39,0.86,Neutral,-1.0,76.41614915716004
0.39,-0.15,0.54,1.01,Neutral,-0.6,82.9543900488608
0.09,-0.45,0.54,1.21,El Nino,-0.4,87.2528914985807
-0.0,-0.24,0.24,1.31,El Nino,-0.5,84.96343894889229
0.18,0.42,-0.24,1.14,El Nino,-1.1,78.50930360783279
0.11,0.47,-0.36,0.92,El Nino,-0.2,82.13418197966054
0.42,0.2,0.2199999999999999,0.63,El Nino,-0.7,87.23065604397893
0.27,-0.0,0.27,0.38,Neutral,-0.3,86.39601115745577
0.31,0.22,0.09,-0.04,Neutral,-0.1,81.98832686038841
0.25,0.01,0.24,-0.26,Neutral,-0.3,73.65468631103613
0.21,-0.15,0.36,-0.16,Neutral,-0.6,73.47163587035831
0.06,-0.26,0.32,0.08,Neutral,0.3,82.61029026308036
-0.03,-0.43,0.4,0.21,Neutral,0.1,85.83885491171813
0.06,0.14,-0.08,0.26,Neutral,-0.1,85.320952403368
-0.15,0.05,-0.2,0.29,Neutral,0.0,84.6567187058875
-0.27,0.05,-0.32,0.35,Neutral,-0.3,74.32587561460083
-0.19,-0.26,0.07,0.35,Neutral,1.1,65.47380788139601
0.13,0.15,-0.0199999999999999,0.37,Neutral,-1.3,78.0014874548083
0.11,0.06,0.05,0.31,Neutral,1.2,89.69957334032634
-0.09,-0.24,0.15,0.23,Neutral,0.4,91.86482015159515
-0.03,-0.03,0.0,0.17,Neutral,-0.9,84.01318832629853
-0.72,-0.13,-0.59,0.17,Neutral,1.0,73.20795632741859
-0.59,-0.12,-0.47,0.28,Neutral,-0.8,57.716567427892656
-0.43,-0.13,-0.3,0.47,Neutral,-0.5,73.85445036604119
0.02,-0.03,0.05,0.64,Neutral,-0.3,97.36763650356372
0.02,-0.07,0.09,0.7,Neutral,-0.3,100.35067582861012
-0.01,-0.03,0.0199999999999999,0.67,Neutral,-0.1,92.6094210325631
-0.05,0.02,-0.07,0.66,Neutral,-0.7,75.9446511109412
-0.04,0.07,-0.11,0.69,El Nino,-0.8,65.91976624730555
-0.12,0.16,-0.28,0.64,El Nino,0.3,64.29740848339878
-0.12,0.68,-0.8,0.58,El Nino,-3.1,79.06039890923171
-0.05,0.66,-0.7100000000000001,0.45,Neutral,0.3,96.52617534044082
0.06,-0.08,0.14,0.43,Neutral,-0.6,86.75631068819901
0.14,0.02,0.12,0.29,Neutral,-0.8,72.08764239643857
0.11,0.27,-0.16,0.11,Neutral,0.4,64.88814611947929
-0.22,0.31,-0.53,-0.06,Neutral,0.2,63.87139555131657
-0.08,0.38,-0.46,-0.14,Neutral,-0.3,79.01225493640395
-0.17,0.56,-0.7300000000000001,-0.11,Neutral,0.4,88.69181904280765
-0.23,0.48,-0.71,-0.29,Neutral,1.2,83.7764087762848
-0.34,0.32,-0.66,-0.57,Neutral,-0.2,72.76786000653631
-0.37,0.09,-0.4599999999999999,-0.84,Neutral,-0.0,60.721179156006464
-0.33,-0.26,-0.07,-0.85,Neutral,1.7,56.85066084842969
-0.32,0.36,-0.6799999999999999,-0.77,Neutral,0.1,69.16130510640102
-0.19,0.03,-0.22,-0.57,La Nina,1.8,75.74411063587637
-0.22,-0.15,-0.07,-0.37,Neutral,1.1,67.07080099965953
-0.07,0.15,-0.22,-0.14,Neutral,-0.5,63.39617515945413
-0.13,0.14,-0.27,-0.03,Neutral,-0.2,63.578553216147846
-0.04,-0.23,0.19,0.1,Neutral,-0.6,73.5620792336092
0.18,-0.13,0.31,0.3,Neutral,-1.0,86.23141197142647
0.01,-0.7,0.71,0.54,Neutral,-0.6,86.08863721934142
0.17,-0.77,0.94,0.77,Neutral,-1.3,85.17487169987194
0.34,-0.55,0.8900000000000001,0.94,Neutral,0.1,88.95902602104381
0.39,-0.07,0.46,0.94,Neutral,-0.3,99.63414415839526
0.31,0.05,0.26,0.66,El Nino,-0.8,103.78252084124505
0.2,0.34,-0.14,0.22,Neutral,-0.1,107.3109949968525
0.07,-0.12,0.19,-0.12,Neutral,0.2,112.3627348719056
0.1,-0.05,0.15,-0.32,Neutral,-0.1,99.74521654982055
0.26,-0.16,0.42,-0.38,Neutral,-0.1,88.96144796644839
0.37,0.03,0.3399999999999999,-0.47,Neutral,0.5,84.3551870499106
0.27,-0.08,0.35,-0.56,Neutral,-0.3,84.26311979663946
0.27,-0.09,0.36,-0.81,Neutral,0.4,88.9459766960747
0.08,-0.28,0.36,-1.07,Neutral,0.2,93.64224098428028
-0.09,-0.13,0.04,-1.34,Neutral,0.7,90.21628601620412
-0.24,-0.07,-0.1699999999999999,-1.5,La Nina,0.9,79.54867640082678
-0.25,0.01,-0.26,-1.6,La Nina,1.7,68.00762837080521
-0.04,-0.06,0.0199999999999999,-1.64,La Nina,1.8,70.39227044668613
-0.39,-0.46,0.07,-1.52,La Nina,2.6,74.55066697798749
-0.6,-0.7,0.0999999999999999,-1.29,La Nina,1.4,68.41307854970088
-0.71,-0.38,-0.3299999999999999,-1.01,La Nina,0.7,62.13576600754879
-0.5,-0.66,0.16,-0.84,La Nina,-0.1,61.83857388110263
