WTIO,SETIO,DMI,ONI,ENSO,SOI,D20_SCTR
-0.43,0.63,-1.06,-0.81,La Nina,0.8,73.76076460493421
-0.37,0.8,-1.17,-0.91,La Nina,1.0,91.19500174349746
-0.37,0.7,-1.0699999999999998,-1.01,La Nina,1.6,87.5620416935431
-0.48,0.49,-0.97,-0.99,La Nina,1.7,82.48242709627954
-0.38,0.22,-0.6,-0.92,La Nina,0.3,76.56168518072805
-0.13,-0.04,-0.09,-0.83,La Nina,2.1,62.864925847939126
-0.16,-0.25,0.09,-0.68,La Nina,1.4,58.5903209816477
-0.24,-0.56,0.32,-0.43,Neutral,1.4,58.42825434345792
-0.03,-0.41,0.38,-0.15,Neutral,0.2,67.97922017757567
0.45,0.08,0.37,0.16,Neutral,0.2,74.99556303364594
0.19,0.17,0.0199999999999999,0.48,Neutral,-1.0,65.41438042346154
0.22,0.31,-0.09,0.77,Neutral,0.3,66.93619463076432
0.36,0.24,0.12,1.07,Neutral,-0.3,70.87048971209202
0.73,0.02,0.71,1.32,Neutral,-0.8,84.74677035079637
0.66,-0.18,0.8400000000000001,1.56,Neutral,-1.3,89.07223791432814
0.71,-0.74,1.45,1.78,El Nino,-0.5,102.05762726079313
0.99,-0.52,1.51,1.92,El Nino,-0.8,124.54645560901696
1.14,-0.07,1.21,1.95,El Nino,-0.2,124.37689693906438
1.18,0.36,0.82,1.79,El Nino,0.5,117.30007865439114
1.22,0.92,0.2999999999999999,1.49,El Nino,-1.4,121.96866875548464
0.95,0.41,0.54,1.14,El Nino,0.4,118.355687629128
0.95,0.62,0.3299999999999999,0.71,El Nino,-0.2,108.76707899025256
