Date,WTIO,SETIO,DMI,ONI,NINO3.4,ANOM,SOI
2021-06-01,-0.12,0.35,-0.47,-0.38,27.67,-0.04,0.4
2021-07-01,0.07,0.55,-0.48,-0.4,27.11,-0.19,1.4
2021-08-01,0.07,0.41,-0.3399999999999999,-0.49,26.62,-0.28,0.6
2021-09-01,0.15,0.27,-0.12,-0.67,26.49,-0.27,0.8
2021-10-01,-0.02,0.66,-0.68,-0.81,26.0,-0.77,0.7
2021-11-01,-0.01,0.37,-0.38,-0.98,25.97,-0.85,1.0
2021-12-01,0.12,0.32,-0.2,-0.98,25.6,-1.05,1.5
2022-01-01,0.28,0.55,-0.27,-0.97,25.73,-0.83,0.5
2022-02-01,-0.1,0.27,-0.37,-0.93,26.02,-0.71,1.1
2022-03-01,-0.06,0.06,-0.12,-0.99,26.34,-0.89,1.8
2022-04-01,-0.03,0.34,-0.37,-1.06,26.85,-0.95,1.7
2022-05-01,-0.12,0.43,-0.55,-0.99,26.83,-1.05,1.4
2022-06-01,-0.1,0.6,-0.7,-0.85,27.03,-0.68,1.7
2022-07-01,-0.43,0.63,-1.06,-0.81,26.68,-0.62,0.8
2022-08-01,-0.37,0.8,-1.17,-0.91,25.92,-0.98,1.0
2022-09-01,-0.37,0.7,-1.0699999999999998,-1.01,25.83,-0.93,1.6
2022-10-01,-0.48,0.49,-0.97,-0.99,25.92,-0.85,1.7
2022-11-01,-0.38,0.22,-0.6,-0.92,25.89,-0.93,0.3
2022-12-01,-0.13,-0.04,-0.09,-0.83,25.81,-0.84,2.1
2023-01-01,-0.16,-0.25,0.09,-0.68,25.88,-0.69,1.4
2023-02-01,-0.24,-0.56,0.32,-0.43,26.29,-0.44,1.4
2023-03-01,-0.03,-0.41,0.38,-0.15,27.23,-0.01,0.2
2023-04-01,0.45,0.08,0.37,0.16,27.99,0.19,0.2
2023-05-01,0.19,0.17,0.0199999999999999,0.48,28.35,0.47,-1.0
2023-06-01,0.22,0.31,-0.09,0.77,28.59,0.88,0.3
2023-07-01,0.36,0.24,0.12,1.07,28.37,1.07,-0.3
2023-08-01,0.73,0.02,0.71,1.32,28.2,1.3,-0.8
2023-09-01,0.66,-0.18,0.8400000000000001,1.56,28.29,1.53,-1.3
2023-10-01,0.71,-0.74,1.45,1.78,28.36,1.59,-0.5
2023-11-01,0.99,-0.52,1.51,1.92,28.72,1.9,-0.8
2023-12-01,1.14,-0.07,1.21,1.95,28.64,1.99,-0.2
2024-01-01,1.18,0.36,0.82,1.79,28.34,1.78,0.5
2024-02-01,1.22,0.92,0.2999999999999999,1.49,28.26,1.53,-1.4
2024-03-01,0.95,0.41,0.54,1.14,28.47,1.24,0.4
2024-04-01,0.95,0.62,0.3299999999999999,0.71,28.61,0.81,-0.2
