Date,D20_SCTR
1991-01-01,54.96063979321467
1991-02-01,59.8994416594786
1991-03-01,70.2251244996627
1991-04-01,67.37512486184794
1991-05-01,63.78306609654167
1991-06-01,56.39499073483345
1991-07-01,57.02370458710033
1991-08-01,74.8936127089778
1991-09-01,81.43991411072035
1991-10-01,83.63742193194042
1991-11-01,75.07478829126502
1991-12-01,71.77726564646325
1992-01-01,76.37175487508023
1992-02-01,90.1154169840967
1992-03-01,111.58230950139597
1992-04-01,111.25408244074644
1992-05-01,90.82849240008078
1992-06-01,72.1526541785477
1992-07-01,81.66642492923572
1992-08-01,89.60520629210605
1992-09-01,90.9979206584557
1992-10-01,89.83621558862733
1992-11-01,76.58762700145583
1992-12-01,68.07988989760861
1993-01-01,62.826630469038776
1993-02-01,69.8925220687966
1993-03-01,80.64540710182318
1993-04-01,75.12956180701475
1993-05-01,62.32411933911125
1993-06-01,64.67879362868116
1993-07-01,79.32466288823949
1993-08-01,75.69438470267895
1993-09-01,89.95984198928676
1993-10-01,89.88114437279273
1993-11-01,75.70605971712047
1993-12-01,58.60977895783449
1994-01-01,55.039655605476675
1994-02-01,67.15209337799034
1994-03-01,64.69610094418606
1994-04-01,57.451728490782415
1994-05-01,60.903298759904125
1994-06-01,70.45182309203987
1994-07-01,69.69474382315512
1994-08-01,87.56192609185537
1994-09-01,99.26602559905213
1994-10-01,103.33483719496162
1994-11-01,91.49102768988237
1994-12-01,78.19141609095009
1995-01-01,80.07990035572767
1995-02-01,94.20026571775105
1995-03-01,98.48992650214767
1995-04-01,85.15272719433558
1995-05-01,85.98815250106036
1995-06-01,75.38398345780003
1995-07-01,76.4823676567021
1995-08-01,87.49238385072282
1995-09-01,88.06819745301418
1995-10-01,86.21903669672261
1995-11-01,88.05852546377282
1995-12-01,71.57769673023353
1996-01-01,71.62986247457744
1996-02-01,78.6351737028797
1996-03-01,75.49573169484466
1996-04-01,62.28749548981486
1996-05-01,51.97654285270976
1996-06-01,52.78954889279063
1996-07-01,59.715413995902
1996-08-01,79.55122726227013
1996-09-01,92.40120621187214
1996-10-01,90.60671785836523
1996-11-01,75.5689166346464
1996-12-01,59.42491905368984
1997-01-01,72.31559110486518
1997-02-01,78.1171330823468
1997-03-01,80.76613253884331
1997-04-01,81.98797923127897
1997-05-01,73.56292458441717
1997-06-01,81.4949422311752
1997-07-01,88.87043031062997
1997-08-01,95.46566495698535
1997-09-01,98.7623679852102
1997-10-01,102.96476341009044
1997-11-01,98.3073214777514
1997-12-01,93.74856556287493
1998-01-01,97.26800574298176
1998-02-01,104.75994495751372
1998-03-01,107.68407345514782
1998-04-01,105.51424377761477
1998-05-01,93.88929149052947
1998-06-01,83.21305178105203
1998-07-01,87.71618474247279
1998-08-01,89.3173292259589
1998-09-01,93.52470328933835
1998-10-01,91.04292701455778
1998-11-01,71.57770765590838
1998-12-01,56.73596413146507
1999-01-01,59.15561066763277
1999-02-01,62.22063024395569
1999-03-01,76.04573493507627
1999-04-01,62.09540776335099
1999-05-01,60.07438653093396
1999-06-01,66.6585809988345
1999-07-01,81.6558929618283
1999-08-01,83.53627171598032
1999-09-01,91.80569309495455
1999-10-01,90.54771078451193
1999-11-01,79.07890945558151
1999-12-01,69.27932067919222
2000-01-01,69.57740678114487
2000-02-01,78.05305059292796
2000-03-01,78.12832502326437
2000-04-01,73.58644610037562
2000-05-01,67.24975222974813
2000-06-01,73.33182173883276
2000-07-01,77.90312002010837
2000-08-01,82.2488105985298
2000-09-01,89.97315254484973
2000-10-01,92.7448249078547
2000-11-01,84.4910433581151
2000-12-01,74.82319648805522
2001-01-01,63.814390871858244
2001-02-01,71.85416896231989
2001-03-01,69.2354211955294
2001-04-01,64.02445488981725
2001-05-01,57.82736750137355
2001-06-01,60.461584074097324
2001-07-01,69.99298199506885
2001-08-01,78.07995737719395
2001-09-01,76.39629876217323
2001-10-01,79.80668008244793
2001-11-01,75.66277102884126
2001-12-01,65.49973532645093
2002-01-01,62.75065510435809
2002-02-01,78.3465266562984
2002-03-01,87.59129432852805
2002-04-01,87.53750165125082
2002-05-01,80.66608704350278
2002-06-01,73.487696853791
2002-07-01,68.75525450404635
2002-08-01,76.41614915716004
2002-09-01,82.9543900488608
2002-10-01,87.2528914985807
2002-11-01,84.96343894889229
2002-12-01,78.50930360783279
2003-01-01,82.13418197966054
2003-02-01,87.23065604397893
2003-03-01,86.39601115745577
2003-04-01,81.98832686038841
2003-05-01,73.65468631103613
2003-06-01,73.47163587035831
2003-07-01,82.61029026308036
2003-08-01,85.83885491171813
2003-09-01,85.320952403368
2003-10-01,84.6567187058875
2003-11-01,74.32587561460083
2003-12-01,65.47380788139601
2004-01-01,78.0014874548083
2004-02-01,89.69957334032634
2004-03-01,91.86482015159515
2004-04-01,84.01318832629853
2004-05-01,73.20795632741859
2004-06-01,57.716567427892656
2004-07-01,73.85445036604119
2004-08-01,97.36763650356373
2004-09-01,100.35067582861012
2004-10-01,92.6094210325631
2004-11-01,75.9446511109412
2004-12-01,65.91976624730555
2005-01-01,64.29740848339878
2005-02-01,79.06039890923171
2005-03-01,96.52617534044082
2005-04-01,86.75631068819901
2005-05-01,72.08764239643857
2005-06-01,64.88814611947929
2005-07-01,63.87139555131657
2005-08-01,79.01225493640395
2005-09-01,88.69181904280765
2005-10-01,83.7764087762848
2005-11-01,72.76786000653631
2005-12-01,60.721179156006464
2006-01-01,56.85066084842969
2006-02-01,69.16130510640102
2006-03-01,75.74411063587637
2006-04-01,67.07080099965953
2006-05-01,63.39617515945413
2006-06-01,63.578553216147846
